article_id,author_id,category_id,status,title,slug,published_at,views_count,created_at,updated_at,current_rev
101,60,6,published,Study Guide Trends Insights #101,article-101,2023-03-05 00:00:00,188,2023-01-12 00:00:00,2023-03-06 00:00:00,136
102,21,8,published,How-To Trends Update Insights #102,article-102,2023-06-15 00:00:00,192,2023-05-27 00:00:00,2023-06-30 00:00:00,137
103,3,3,published,Survey Insights Insights Trends #103,article-103,2023-04-10 00:00:00,185,2023-02-02 00:00:00,2023-05-09 00:00:00,138
104,30,1,published,Trends Update Learning Review #104,article-104,2023-05-15 00:00:00,219,2023-04-12 00:00:00,2023-05-25 00:00:00,139
105,40,7,published,Insights Insights Insights Trends #105,article-105,2023-11-05 00:00:00,192,2023-09-26 00:00:00,2023-11-25 00:00:00,140
106,46,8,published,Deep Deep Survey Study #106,article-106,2023-03-31 00:00:00,204,2023-03-02 00:00:00,2023-04-23 00:00:00,143
107,6,7,archived,How-To Update Learning Learning #107,article-107,,216,2023-03-19 00:00:00,2023-05-24 00:00:00,144
108,2,1,published,Deep Analysis Trends Guide #108,article-108,2023-07-27 00:00:00,216,2023-06-05 00:00:00,2023-08-14 00:00:00,145
109,44,3,draft,Deep Insights Survey Guide #109,article-109,,208,2023-01-14 00:00:00,2023-04-02 00:00:00,146
110,15,8,published,Review Update Insights Review #110,article-110,2023-03-10 00:00:00,228,2023-02-02 00:00:00,2023-03-31 00:00:00,147
111,35,3,draft,Study Study Analysis Study #111,article-111,,189,2023-01-08 00:00:00,2023-04-14 00:00:00,149
112,30,5,draft,Trends Review Guide Survey #112,article-112,,195,2023-01-06 00:00:00,2023-03-29 00:00:00,150
113,45,5,draft,Insights Trends Deep Insights #113,article-113,,233,2023-11-28 00:00:00,2024-01-02 00:00:00,152
114,39,8,published,Insights How-To Guide How-To #114,article-114,2023-08-21 00:00:00,198,2023-07-24 00:00:00,2023-09-10 00:00:00,153
115,13,10,published,How-To How-To Update Learning #115,article-115,2023-06-14 00:00:00,190,2023-06-02 00:00:00,2023-07-12 00:00:00,154
116,41,1,published,Trends Survey How-To Deep #116,article-116,2023-10-02 00:00:00,216,2023-08-26 00:00:00,2023-10-12 00:00:00,156
117,48,7,draft,Learning Review Study Review #117,article-117,,174,2023-07-15 00:00:00,2023-09-13 00:00:00,157
118,11,5,archived,Study Study Analysis Insights #118,article-118,,184,2023-03-09 00:00:00,2023-04-06 00:00:00,158
119,5,3,published,Guide Update Update Trends #119,article-119,2023-10-20 00:00:00,199,2023-08-10 00:00:00,2023-10-31 00:00:00,159
120,6,7,draft,Review Review Update Update #120,article-120,,238,2023-03-08 00:00:00,2023-06-02 00:00:00,160
121,53,6,draft,Guide Deep Insights Survey #121,article-121,,210,2023-06-03 00:00:00,2023-08-27 00:00:00,161
122,42,2,published,Review Update Update Learning #122,article-122,2023-10-24 00:00:00,197,2023-10-19 00:00:00,2023-11-23 00:00:00,162
123,3,5,archived,Learning Guide Review Trends #123,article-123,,203,2023-02-22 00:00:00,2023-05-01 00:00:00,163
124,48,9,published,How-To Learning Trends Learning #124,article-124,2023-03-14 00:00:00,197,2023-01-11 00:00:00,2023-04-02 00:00:00,164
125,27,5,draft,Trends Trends Study Insights #125,article-125,,207,2023-03-17 00:00:00,2023-04-19 00:00:00,165
126,24,9,archived,Update Deep Analysis Study #126,article-126,,222,2023-03-02 00:00:00,2023-05-01 00:00:00,166
127,43,4,published,Survey Deep How-To Guide #127,article-127,2023-08-26 00:00:00,219,2023-08-10 00:00:00,2023-09-20 00:00:00,167
128,37,4,draft,How-To Guide Guide Insights #128,article-128,,220,2023-08-12 00:00:00,2023-10-17 00:00:00,168
129,10,10,draft,Insights Learning Learning Guide #129,article-129,,200,2023-02-08 00:00:00,2023-03-05 00:00:00,169
130,43,1,draft,Analysis How-To Survey Deep #130,article-130,,197,2023-04-12 00:00:00,2023-05-16 00:00:00,170
131,9,7,published,How-To Review How-To Review #131,article-131,2023-04-27 00:00:00,188,2023-04-14 00:00:00,2023-05-11 00:00:00,171
132,33,4,archived,Deep How-To Insights Review #132,article-132,,179,2023-01-29 00:00:00,2023-04-17 00:00:00,173
133,2,1,archived,Insights Trends Learning Update #133,article-133,,190,2023-01-18 00:00:00,2023-03-17 00:00:00,174
134,58,2,published,Learning Learning Survey Survey #134,article-134,2023-04-14 00:00:00,192,2023-03-04 00:00:00,2023-04-26 00:00:00,175
135,39,9,published,Review Trends How-To Learning #135,article-135,2023-12-25 00:00:00,186,2023-10-03 00:00:00,2024-01-14 00:00:00,177
136,57,9,published,Guide Trends Guide Analysis #136,article-136,2023-04-11 00:00:00,214,2023-02-12 00:00:00,2023-04-23 00:00:00,178
137,27,2,published,Analysis Guide Study Update #137,article-137,2023-05-17 00:00:00,185,2023-03-18 00:00:00,2023-05-19 00:00:00,179
138,6,2,draft,Learning How-To How-To Survey #138,article-138,,194,2023-04-22 00:00:00,2023-08-05 00:00:00,180
139,36,9,published,Learning Analysis Update How-To #139,article-139,2023-04-18 00:00:00,184,2023-04-12 00:00:00,2023-05-18 00:00:00,181
140,19,10,published,Learning Review Learning Review #140,article-140,2024-03-08 00:00:00,185,2024-02-24 00:00:00,2024-03-19 00:00:00,182
141,55,9,published,How-To Survey How-To Insights #141,article-141,2024-02-07 00:00:00,219,2023-11-20 00:00:00,2024-02-26 00:00:00,183
142,44,9,draft,Study Insights Guide Learning #142,article-142,,184,2023-01-02 00:00:00,2023-04-25 00:00:00,185
143,20,6,published,Learning Learning Update Deep #143,article-143,2023-05-12 00:00:00,164,2023-02-20 00:00:00,2023-05-12 00:00:00,187
144,6,9,published,Trends Analysis Trends Update #144,article-144,2023-04-08 00:00:00,204,2023-01-26 00:00:00,2023-04-27 00:00:00,189
145,6,1,draft,How-To Deep Deep Trends #145,article-145,,193,2023-02-10 00:00:00,2023-04-20 00:00:00,190
146,39,8,published,Guide Review Analysis Learning #146,article-146,2023-03-05 00:00:00,182,2022-12-09 00:00:00,2023-03-26 00:00:00,191
147,38,8,published,Analysis Guide Study Deep #147,article-147,2023-06-08 00:00:00,188,2023-05-13 00:00:00,2023-06-17 00:00:00,193
148,14,3,published,Analysis Learning Review Trends #148,article-148,2023-05-13 00:00:00,197,2023-04-27 00:00:00,2023-05-25 00:00:00,195
149,35,4,published,Insights How-To Deep Insights #149,article-149,2023-03-07 00:00:00,224,2023-03-02 00:00:00,2023-03-20 00:00:00,197
150,2,8,archived,Insights Survey Survey Update #150,article-150,,185,2023-02-11 00:00:00,2023-04-14 00:00:00,199
151,8,7,draft,Analysis How-To Survey Insights #151,article-151,,213,2023-09-21 00:00:00,2023-11-08 00:00:00,200
152,28,2,published,Survey Review Trends Analysis #152,article-152,2023-03-30 00:00:00,197,2023-02-15 00:00:00,2023-04-06 00:00:00,201
153,22,3,draft,Survey Review Guide How-To #153,article-153,,189,2023-02-02 00:00:00,2023-04-10 00:00:00,203
154,53,3,published,Learning Guide Survey How-To #154,article-154,2023-05-11 00:00:00,237,2023-02-17 00:00:00,2023-05-13 00:00:00,204
155,12,8,published,Survey Survey Update Insights #155,article-155,2024-05-18 00:00:00,201,2024-02-26 00:00:00,2024-06-07 00:00:00,205
156,40,6,published,Survey Learning Deep Trends #156,article-156,2023-03-30 00:00:00,193,2023-02-20 00:00:00,2023-04-24 00:00:00,207
157,18,10,draft,Review Analysis Trends Deep #157,article-157,,202,2023-05-21 00:00:00,2023-06-28 00:00:00,209
158,42,2,published,Review Review Survey How-To #158,article-158,2023-07-29 00:00:00,196,2023-07-24 00:00:00,2023-08-12 00:00:00,210
159,59,10,published,Analysis Review Learning Deep #159,article-159,2023-03-30 00:00:00,200,2023-03-17 00:00:00,2023-04-24 00:00:00,211
160,58,6,archived,Deep Update Deep Update #160,article-160,,185,2023-05-21 00:00:00,2023-08-01 00:00:00,212
161,34,10,draft,Trends Analysis Trends Analysis #161,article-161,,194,2023-02-01 00:00:00,2023-04-19 00:00:00,213
162,51,6,draft,Learning Update Analysis Update #162,article-162,,194,2023-03-22 00:00:00,2023-07-14 00:00:00,214
163,59,10,published,Analysis Survey Learning Analysis #163,article-163,2023-06-14 00:00:00,222,2023-03-23 00:00:00,2023-07-06 00:00:00,215
164,43,7,draft,Update Deep Survey Update #164,article-164,,211,2023-04-09 00:00:00,2023-06-16 00:00:00,216
165,9,9,draft,Update Review Deep Analysis #165,article-165,,182,2023-02-12 00:00:00,2023-03-21 00:00:00,218
166,50,8,draft,Study Learning Analysis How-To #166,article-166,,204,2023-07-04 00:00:00,2023-09-30 00:00:00,219
167,35,9,draft,Analysis How-To Learning Trends #167,article-167,,186,2023-03-22 00:00:00,2023-04-16 00:00:00,221
168,54,10,published,Learning Trends Trends Update #168,article-168,2023-03-23 00:00:00,175,2023-02-21 00:00:00,2023-04-06 00:00:00,222
169,40,5,published,How-To Guide Guide Study #169,article-169,2023-03-06 00:00:00,178,2023-01-05 00:00:00,2023-04-03 00:00:00,223
170,54,4,published,Study Study Review Analysis #170,article-170,2023-06-03 00:00:00,224,2023-04-16 00:00:00,2023-06-19 00:00:00,224
171,34,7,archived,How-To How-To Learning Guide #171,article-171,,222,2023-04-07 00:00:00,2023-07-13 00:00:00,225
172,56,6,published,Learning Insights Insights Analysis #172,article-172,2023-03-03 00:00:00,192,2023-02-11 00:00:00,2023-03-11 00:00:00,226
173,29,9,draft,Trends Study Guide Trends #173,article-173,,200,2023-04-01 00:00:00,2023-06-13 00:00:00,227
174,2,7,draft,Review Guide Study Trends #174,article-174,,210,2023-03-25 00:00:00,2023-04-07 00:00:00,228
175,60,2,published,Update How-To Learning Analysis #175,article-175,2023-06-18 00:00:00,196,2023-04-19 00:00:00,2023-07-10 00:00:00,229
176,54,3,published,Review Survey Insights Deep #176,article-176,2023-03-22 00:00:00,178,2023-02-23 00:00:00,2023-04-17 00:00:00,230
177,10,9,archived,Survey Trends How-To Guide #177,article-177,,204,2023-06-17 00:00:00,2023-07-03 00:00:00,231
178,16,7,published,Survey Deep Insights Review #178,article-178,2023-04-22 00:00:00,172,2023-02-13 00:00:00,2023-04-22 00:00:00,232
179,41,9,published,Update Analysis Deep Analysis #179,article-179,2023-12-15 00:00:00,200,2023-10-03 00:00:00,2023-12-28 00:00:00,233
180,12,2,published,Analysis Study Review How-To #180,article-180,2023-03-17 00:00:00,192,2023-01-12 00:00:00,2023-04-03 00:00:00,234
181,2,7,published,Deep Trends Trends How-To #181,article-181,2023-04-14 00:00:00,197,2023-02-28 00:00:00,2023-05-09 00:00:00,235
182,5,6,published,Update Learning Survey How-To #182,article-182,2023-03-14 00:00:00,197,2023-02-25 00:00:00,2023-03-15 00:00:00,236
183,23,9,published,Update Insights Update Study #183,article-183,2023-11-26 00:00:00,191,2023-09-26 00:00:00,2023-12-16 00:00:00,237
184,12,3,draft,How-To Review Analysis Deep #184,article-184,,200,2023-09-12 00:00:00,2023-11-04 00:00:00,238
185,3,6,archived,Review Study Review Guide #185,article-185,,203,2023-01-10 00:00:00,2023-04-08 00:00:00,239
186,19,6,published,Deep Update Analysis How-To #186,article-186,2023-06-22 00:00:00,212,2023-04-28 00:00:00,2023-07-20 00:00:00,241
187,26,8,published,Trends Study Review Review #187,article-187,2023-08-26 00:00:00,203,2023-06-21 00:00:00,2023-09-03 00:00:00,242
188,52,2,published,Deep Survey Insights Survey #188,article-188,2023-05-25 00:00:00,194,2023-04-14 00:00:00,2023-05-28 00:00:00,243
189,6,6,published,Analysis Survey Trends Update #189,article-189,2023-05-19 00:00:00,198,2023-04-05 00:00:00,2023-06-02 00:00:00,244
190,3,6,published,Trends Update How-To Deep #190,article-190,2023-03-30 00:00:00,241,2023-01-04 00:00:00,2023-04-19 00:00:00,245
191,26,6,published,How-To Learning Deep Insights #191,article-191,2023-03-12 00:00:00,170,2022-12-16 00:00:00,2023-04-06 00:00:00,248
192,29,1,draft,Guide Update Analysis Study #192,article-192,,166,2023-10-21 00:00:00,2023-11-13 00:00:00,249
193,10,8,archived,Trends How-To Survey Review #193,article-193,,208,2023-09-08 00:00:00,2023-11-07 00:00:00,251
194,42,5,published,Learning How-To Review Trends #194,article-194,2023-06-14 00:00:00,182,2023-04-04 00:00:00,2023-06-17 00:00:00,254
195,17,5,published,Guide Survey Update Study #195,article-195,2023-04-14 00:00:00,183,2023-03-20 00:00:00,2023-04-17 00:00:00,255
196,9,2,published,Insights Trends Deep Update #196,article-196,2023-04-15 00:00:00,193,2023-03-06 00:00:00,2023-05-06 00:00:00,256
197,23,2,published,Analysis Analysis Learning Update #197,article-197,2023-07-15 00:00:00,176,2023-04-17 00:00:00,2023-08-04 00:00:00,257
198,12,6,published,Learning Guide Learning How-To #198,article-198,2023-10-25 00:00:00,204,2023-10-22 00:00:00,2023-11-05 00:00:00,258
199,36,10,published,How-To Survey Survey Deep #199,article-199,2023-10-15 00:00:00,193,2023-09-06 00:00:00,2023-10-27 00:00:00,260
200,46,8,published,How-To Insights Deep Study #200,article-200,2023-08-07 00:00:00,220,2023-05-17 00:00:00,2023-08-09 00:00:00,261
201,29,8,published,Analysis Insights How-To Update #201,article-201,2023-06-17 00:00:00,209,2023-05-25 00:00:00,2023-07-11 00:00:00,262
202,9,7,published,Insights Insights Review Analysis #202,article-202,2023-03-11 00:00:00,206,2023-02-19 00:00:00,2023-03-21 00:00:00,263
203,60,4,published,Study Insights Insights Guide #203,article-203,2023-03-20 00:00:00,214,2022-12-29 00:00:00,2023-04-19 00:00:00,265
204,36,5,draft,Analysis Review Review Learning #204,article-204,,198,2023-08-13 00:00:00,2023-10-30 00:00:00,266
205,11,10,published,Survey Insights Survey Insights #205,article-205,2023-06-07 00:00:00,212,2023-06-04 00:00:00,2023-06-09 00:00:00,267
206,3,10,published,Guide Survey Survey Deep #206,article-206,2023-03-02 00:00:00,208,2022-12-12 00:00:00,2023-03-19 00:00:00,268
207,19,5,published,How-To Update Analysis Deep #207,article-207,2023-03-13 00:00:00,201,2023-03-06 00:00:00,2023-03-18 00:00:00,269
208,29,7,published,Guide Survey Analysis Update #208,article-208,2023-06-23 00:00:00,213,2023-05-10 00:00:00,2023-07-05 00:00:00,270
209,9,6,published,Learning Guide Learning Trends #209,article-209,2023-03-02 00:00:00,198,2023-02-12 00:00:00,2023-03-05 00:00:00,271
210,4,5,archived,Insights Trends Study Insights #210,article-210,,161,2023-02-07 00:00:00,2023-04-18 00:00:00,272
211,37,6,draft,Learning Study Review Insights #211,article-211,,181,2023-03-22 00:00:00,2023-05-24 00:00:00,273
212,6,7,published,Study Guide Analysis Deep #212,article-212,2023-07-02 00:00:00,219,2023-04-30 00:00:00,2023-07-21 00:00:00,275
