action_id,admin_id,action,target_sql,created_at
30,60,update_category,update_category placeholder #30,2025-11-29 00:00:00
31,60,reindex,reindex placeholder #31,2023-06-15 00:00:00
32,59,reindex,reindex placeholder #32,2023-03-05 00:00:00
33,60,bulk_delete,bulk_delete placeholder #33,2025-09-04 00:00:00
34,59,bulk_delete,bulk_delete placeholder #34,2024-05-26 00:00:00
35,59,reindex,reindex placeholder #35,2026-01-05 00:00:00
36,59,update_category,update_category placeholder #36,2024-01-23 00:00:00
37,60,vacuum,vacuum placeholder #37,2023-06-11 00:00:00
38,59,bulk_unpublish,bulk_unpublish placeholder #38,2024-07-01 00:00:00
39,60,reindex,reindex placeholder #39,2023-11-25 00:00:00
40,59,bulk_unpublish,bulk_unpublish placeholder #40,2024-10-23 00:00:00
41,59,update_category,update_category placeholder #41,2023-10-03 00:00:00
42,59,update_category,update_category placeholder #42,2024-02-09 00:00:00
43,60,reindex,reindex placeholder #43,2023-10-07 00:00:00
44,60,bulk_unpublish,bulk_unpublish placeholder #44,2023-05-10 00:00:00
45,60,bulk_delete,bulk_delete placeholder #45,2023-11-19 00:00:00
46,59,bulk_unpublish,bulk_unpublish placeholder #46,2023-06-20 00:00:00
47,60,vacuum,vacuum placeholder #47,2024-03-17 00:00:00
48,60,bulk_unpublish,bulk_unpublish placeholder #48,2023-08-25 00:00:00
49,60,bulk_delete,bulk_delete placeholder #49,2024-09-22 00:00:00
50,59,bulk_delete,bulk_delete placeholder #50,2024-03-31 00:00:00
51,60,reindex,reindex placeholder #51,2023-12-30 00:00:00
52,59,update_category,update_category placeholder #52,2023-05-22 00:00:00
53,59,reindex,reindex placeholder #53,2024-02-21 00:00:00
54,60,vacuum,vacuum placeholder #54,2025-03-05 00:00:00
55,59,vacuum,vacuum placeholder #55,2024-09-25 00:00:00
56,60,bulk_unpublish,bulk_unpublish placeholder #56,2023-09-23 00:00:00
57,59,bulk_delete,bulk_delete placeholder #57,2024-01-22 00:00:00
58,60,reindex,reindex placeholder #58,2025-06-22 00:00:00
59,59,bulk_unpublish,bulk_unpublish placeholder #59,2024-12-31 00:00:00
60,60,update_category,update_category placeholder #60,2024-06-23 00:00:00
61,60,vacuum,vacuum placeholder #61,2026-01-10 00:00:00
62,60,bulk_delete,bulk_delete placeholder #62,2024-10-19 00:00:00
63,60,reindex,reindex placeholder #63,2023-07-26 00:00:00
64,59,reindex,reindex placeholder #64,2023-06-14 00:00:00
65,60,update_category,update_category placeholder #65,2025-05-23 00:00:00
66,60,vacuum,vacuum placeholder #66,2023-11-28 00:00:00
67,60,bulk_delete,bulk_delete placeholder #67,2025-11-20 00:00:00
68,60,update_category,update_category placeholder #68,2025-10-05 00:00:00
69,59,reindex,reindex placeholder #69,2024-10-20 00:00:00
70,60,bulk_unpublish,bulk_unpublish placeholder #70,2023-12-03 00:00:00
71,60,vacuum,vacuum placeholder #71,2024-03-08 00:00:00
72,59,bulk_unpublish,bulk_unpublish placeholder #72,2023-05-02 00:00:00
73,60,reindex,reindex placeholder #73,2025-07-18 00:00:00
74,59,bulk_unpublish,bulk_unpublish placeholder #74,2025-05-19 00:00:00
75,59,bulk_delete,bulk_delete placeholder #75,2023-06-25 00:00:00
76,59,vacuum,vacuum placeholder #76,2023-05-20 00:00:00
77,59,vacuum,vacuum placeholder #77,2025-02-25 00:00:00
78,60,update_category,update_category placeholder #78,2024-12-22 00:00:00
79,59,reindex,reindex placeholder #79,2024-03-10 00:00:00
80,60,bulk_delete,bulk_delete placeholder #80,2025-09-19 00:00:00
81,59,bulk_unpublish,bulk_unpublish placeholder #81,2025-05-03 00:00:00
82,59,update_category,update_category placeholder #82,2025-04-29 00:00:00
83,60,reindex,reindex placeholder #83,2025-07-04 00:00:00
84,60,vacuum,vacuum placeholder #84,2024-12-19 00:00:00
85,59,update_category,update_category placeholder #85,2023-06-14 00:00:00
86,60,update_category,update_category placeholder #86,2025-12-05 00:00:00
87,59,bulk_delete,bulk_delete placeholder #87,2025-10-20 00:00:00
88,60,bulk_delete,bulk_delete placeholder #88,2023-08-25 00:00:00
89,59,bulk_unpublish,bulk_unpublish placeholder #89,2023-03-29 00:00:00
90,59,bulk_delete,bulk_delete placeholder #90,2024-02-24 00:00:00
91,60,bulk_delete,bulk_delete placeholder #91,2024-07-31 00:00:00
92,60,vacuum,vacuum placeholder #92,2025-07-05 00:00:00
93,60,update_category,update_category placeholder #93,2024-12-07 00:00:00
94,60,vacuum,vacuum placeholder #94,2023-05-03 00:00:00
95,59,reindex,reindex placeholder #95,2025-06-18 00:00:00
96,60,bulk_unpublish,bulk_unpublish placeholder #96,2025-01-12 00:00:00
97,60,reindex,reindex placeholder #97,2025-12-08 00:00:00
98,60,vacuum,vacuum placeholder #98,2024-06-11 00:00:00
99,60,bulk_delete,bulk_delete placeholder #99,2024-12-24 00:00:00
100,60,vacuum,vacuum placeholder #100,2025-06-15 00:00:00
